Country,Year,Biogas CHP,Coal and peat CHP,Fossil fuels n.e.s. CHP,Geothermal energy CHP,Liquid biofuels CHP,Natural gas CHP,Nuclear CHP,Oil CHP,Other non-renewable energy CHP,Other renewable energy CHP,Renewable municipal waste CHP,Solar thermal energy CHP,Solid biofuels CHP,Biogas comm,Coal and peat comm,Fossil fuels n.e.s. comm,Geothermal energy comm,Liquid biofuels comm,Natural gas comm,Nuclear comm,Oil comm,Other non-renewable energy comm,Other renewable energy comm,Renewable municipal waste comm,Solar thermal energy comm,Solid biofuels comm,Solid Fossil Fuels Dependency,Oil and Petroleum (no boifuel) Dependency,Natural Gas Dependency,Biogas Cap,Coal and peat Cap,Fossil fuels n.e.s. Cap,Geothermal energy Cap,Liquid biofuels Cap,Marine energy Cap,Mixed Hydro Plants Cap,Natural gas Cap,Nuclear Cap,Offshore wind energy Cap,Oil Cap,Onshore wind energy Cap,Other non-renewable energy Cap,Pumped storage Cap,Renewable hydropower Cap,Renewable municipal waste Cap,Solar photovoltaic Cap,Solar thermal energy Cap,Solid biofuels Cap,Medium Household Electricity Prices (kW-hr),Medium Household Gas Prices (gJ),Population,Biogas Inv,Coal and peat Inv,Concentrated solar power Inv,Fossil fuels n.e.s. Inv,Geothermal energy Inv,Liquid biofuels Inv,Marine energy Inv,Multiple renewables* Inv,Natural gas Inv,Non-renewable municipal waste Inv,Nuclear Inv,Off-grid Solar photovoltaic Inv,Offshore wind energy Inv,Oil Inv,On-grid Solar photovoltaic Inv,Onshore wind energy Inv,Other primary solid biofuels n.e.s. Inv,Pumped storage Inv,Renewable hydropower Inv,Renewable municipal waste Inv,Solar thermal energy Inv
Austria,2000,0,2947,0,0,0,15548,0,7147,1631,0,606,0,929.001,0,40,0,416,0,8917,0,2851,963,0,442,0,5445.998,83.931,89.043,80.582,24,0,5247,0,0,0,3937,0,0,0,0,50,77,0,7676,6,5,0,780,,,8011566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,2001,2,3639,0,0,0,16594,0,7782,1558,0,605,0,636.999,0,0,0,502,0,3910,0,4941,949,0,427,0,6830.006,89.462,89.096,72.177,27,0,5407,0,0,0,3937,0,0,0,0,67,189,0,7703,6,7,0,766,,,8042293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,2002,0,3612,0,0,9,17740,0,6146,1548,0,633,0,909,0,0,0,402,0,6564,0,1466,945,0,504,0,7805.004,91.801,93.789,72.239,18,0,5257,2,2,0,3937,0,0,0,0,109,193,0,7567,6,9,0,766,,,8081957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,2003,27,3398,0,0,3,20573,0,6743,1738,0,654,0,1284,0,0,0,441,0,7030,0,1067,931,0,428,0,8443.003,86.573,93.57,80.219,29,0,4922,2,10,0,3938,0,0,0,0,322,374,0,7607,182,23,0,766,,,8121423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,2004,78,3598,0,0,153,22669,0,7068,2535,0,747,0,2667.005,0,0,0,422,0,5618,0,1660,891,0,445,0,7828,98.443,94.849,79.901,29,0,5138,2,17,0,3965,0,0,0,0,581,404,0,7613,182,27,0,766,,,8171966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,2005,223.597,3405.3,0,0,272.844,22486.8,0,6281.39,2182.34,0,669.352,0,3486.727,0,0,0,446.786,0,7967.76,0,2708.34,911.845,0,490.132,0,7559.622,99.377,92.053,88.453,217.78,0,4431.04,0.92,50.44,0,3964.63,0,0,0,0,825.22,428.57,0,7834.41,209.86,21.02,0,1118.31,,,8227829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,2006,237.986,3097.02,0,0,404.77,21463.8,0,6494.21,2293.17,0,639.647,0,6057.783,93.645,0,0,554.269,0.37,7631.57,0,1920.34,1101.19,0,508.606,0,7981.975,94.058,95.69,88.199,222.17,0,4176.42,0.92,54.38,0,3964.6,0,0,0,0,968.27,501.8,0,7860.5,215.45,22.38,0,1334.79,,,8268641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,2007,252.87,3035.8,0,0,482.024,19828.1,0,5320.18,2217.73,0,653.429,0,8931.639,102.815,0,0,505.125,0.165,7863.13,0,1528.12,1239.07,0,591.683,0,8138.069,102.092,91.951,82.665,289.35,0,3711.79,0.92,27.41,0,3964.6,0,0,0,0,991.16,487.29,0,8023.59,215.31,24.24,0,1548.85,,,8295487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,2008,220.861,3366.79,0,0,245.011,19796,0,4232.47,2394.76,0,817.774,0,12372.321,177.61,0,0,536.169,0.165,9294.51,0,1573.86,1271.3,0,604.204,0,9841.097,99.809,92.869,88.464,284.66,0,4645.63,0.92,55.81,0,4414.52,0,0,0,0,991.97,495.42,0,8026.43,222.98,30.12,0,1542.49,,,8321496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,2009,220.57,3143.76,0,0,268.822,19760.2,0,5056.29,2729.98,0,1237.81,0,12155.173,67,0,0,534.836,0.57,9360.96,0,1723.25,1161.1,0,547.181,56.2,12147.619,95.88,91.548,86.896,335.48,0,4563.93,0.92,45.87,0,4618.52,0,0,0,0,1000.99,535.2,0,8011.91,243.69,48.91,0,1553.83,,,8343323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.55,0
Austria,2010,235.059,3066.7,0,0,170.485,21298.3,0,6004.18,3056.04,0,1474.01,0,13381.648,72.435,0,0,537.563,0.05,8993.78,0,1382.95,1200.85,0,560.038,57.299,16879.286,99.577,90.413,75.284,330.27,0,4494.66,0.92,14.51,0,4792.52,0,0,0,0,1015.83,674.04,0,8102.33,242.9,88.82,0,1588.63,,,8363404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,2011,220.897,3199.89,0,0,23.295,21942.3,0,3871.15,3241.92,0,1687.52,0,15743.086,66.163,0,0,523.579,0,8896.67,0,1047.13,1226,0,564.31,72.774,16225.653,89.586,92.321,104.32,372.2,0,5257.36,0.92,7.34,0,5033.22,0,0,0,0,1105.97,671.19,0,8144.17,241.95,174.07,0,1627.97,0.1986,19.29,8391643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.24,0,0,105.7,0,0
Austria,2012,217.165,3110.26,0,0,0,22829.3,0,3704.43,3135.83,0,1477.42,0,16788.218,81.462,0,0,577.944,0,10254.2,0,1366,1206.56,0,581.903,90.587,18337.159,102.771,92.244,87.297,272.94,0,5705.06,0.92,5.51,0,5108.22,0,0,0,0,1337.15,784.39,0,8200.67,287.65,337.48,0,1105.46,0.1975,21.05,8429991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.13,0,187.78,0,0,0
Austria,2013,186.185,3285.5,0,0,0,21786.3,0,3243.06,4039.6,0,1348.24,0,16146.852,79.273,0,0,593.476,11.324,12545.5,0,1293.91,1201.26,0,601.21,86.536,18891.191,94.087,92.439,74.713,194.04,0,5874.35,0.92,6.36,0,5111.22,0,0,0,0,1674.54,788.33,0,8272.18,289.58,625.97,0,1017.35,0.2082,21.32,8479823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.76,0,0,0,89.94,0
Austria,2014,123.939,3367.82,0,0,0,18439,0,2309.33,4162.88,0,1511.26,0,13879.355,70.407,0,0,519.09,20.011,11297,0,1377.2,1204.59,0,608.532,79.65,19827.235,101.727,91.424,98.277,188.87,0,5750.34,0.92,1.02,0,5210.63,0,0,0,0,2110.28,698.06,0,8321.63,261.82,785.25,0,958.88,0.2021,20.78,8546356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.45,0,0,346.64,0,0
