,Country,Year,Biogas CHP,Coal and peat CHP,Liquid biofuels CHP,Natural gas CHP,Nuclear CHP,Oil CHP,Other non-renewable energy CHP,Renewable municipal waste CHP,Solid biofuels CHP,Biogas comm,Coal and peat comm,Geothermal energy comm,Liquid biofuels comm,Natural gas comm,Oil comm,Other non-renewable energy comm,Other renewable energy comm,Renewable municipal waste comm,Solar thermal energy comm,Solid biofuels comm,Solid Fossil Fuels Dependency,Oil and Petroleum (no boifuel) Dependency,Natural Gas Dependency,Biogas Cap,Fossil fuels n.e.s. Cap,Geothermal energy Cap,Liquid biofuels Cap,Marine energy Cap,Mixed Hydro Plants Cap,Nuclear Cap,Offshore wind energy Cap,Onshore wind energy Cap,Other non-renewable energy Cap,Pumped storage Cap,Renewable hydropower Cap,Renewable municipal waste Cap,Solar photovoltaic Cap,Solid biofuels Cap,Medium Household Electricity Prices (kW-hr),Medium Household Gas Prices (gJ),Population,Multiple renewables* Inv,Onshore wind energy Inv
11,Austria,2011,220.897,3199.89,23.295,21942.3,0.0,3871.15,3241.92,1687.52,15743.086,66.163,0.0,523.579,0.0,8896.67,1047.13,1226.0,0.0,564.31,72.774,16225.653,89.586,92.321,104.32,372.2,5257.36,0.92,7.34,0.0,5033.22,0.0,0.0,1105.97,671.19,0.0,8144.17,241.95,174.07,1627.97,0.1986,19.29,8391643,0.0,344.24
12,Austria,2012,217.165,3110.26,0.0,22829.3,0.0,3704.43,3135.83,1477.42,16788.218,81.462,0.0,577.944,0.0,10254.2,1366.0,1206.56,0.0,581.903,90.587,18337.159,102.771,92.244,87.297,272.94,5705.06,0.92,5.51,0.0,5108.22,0.0,0.0,1337.15,784.39,0.0,8200.67,287.65,337.48,1105.46,0.1975,21.05,8429991,0.0,88.13
13,Austria,2013,186.185,3285.5,0.0,21786.3,0.0,3243.06,4039.6,1348.24,16146.852,79.273,0.0,593.476,11.324,12545.5,1293.91,1201.26,0.0,601.21,86.536,18891.191,94.087,92.439,74.713,194.04,5874.35,0.92,6.36,0.0,5111.22,0.0,0.0,1674.54,788.33,0.0,8272.18,289.58,625.97,1017.35,0.2082,21.32,8479823,0.0,204.76
14,Austria,2014,123.939,3367.82,0.0,18439.0,0.0,2309.33,4162.88,1511.26,13879.355,70.407,0.0,519.09,20.011,11297.0,1377.2,1204.59,0.0,608.532,79.65,19827.235,101.727,91.424,98.277,188.87,5750.34,0.92,1.02,0.0,5210.63,0.0,0.0,2110.28,698.06,0.0,8321.63,261.82,785.25,958.88,0.2021,20.78,8546356,0.0,73.45
15,Austria,2015,77.056,3910.95,0.0,19028.6,0.0,3878.8,4708.09,1834.34,15158.394,68.275,0.0,578.034,23.471,10290.3,1129.59,1156.98,0.0,569.598,93.993,20269.334,86.926,93.843,72.601,191.41,5525.5,0.92,3.39,0.0,5193.39,0.0,0.0,2488.73,743.16,0.0,8456.27,262.92,937.1,938.62,0.2009,20.28,8642699,30.49,92.22
16,Austria,2016,177.28,3637.46,0.0,21163.6,0.0,4311.45,4895.36,2014.35,14588.63,67.645,0.0,586.594,22.3,10010.2,1128.35,1158.36,0.0,572.08,90.246,20889.497,95.008,91.806,85.895,202.3,5173.15,0.92,2.97,0.0,5623.39,0.0,0.0,2730.0,707.06,0.0,8492.92,270.82,1096.02,916.7,0.2034,19.17,8736668,0.0,58.07
17,Austria,2017,111.407,3913.47,0.0,21689.5,0.0,3878.3,5065.3,2129.24,15574.171,48.224,0.0,590.977,25.263,10564.9,965.953,1201.6,0.0,611.805,92.672,22196.274,99.885,92.216,90.221,180.08,4615.85,0.92,1.2,0.0,5644.28,0.0,0.0,2886.7,706.96,0.0,8505.67,270.72,1268.97,837.77,0.195,18.71,8797566,167.71,41.93
18,Austria,2018,249.561,3294.08,0.0,21981.7,0.0,2289.79,4785.05,2091.36,14784.471,46.046,0.0,573.463,21.214,8538.18,892.597,1182.78,0.0,599.787,93.394,22637.974,97.607,93.986,88.16,175.4,4556.06,0.92,1.32,0.0,5665.28,0.0,0.0,3132.71,705.86,0.0,8850.97,269.62,1455.14,824.25,0.1966,18.585,8840521,0.0,38.06
19,Austria,2019,158.883,4251.93,0.0,22675.7,0.0,1983.01,4981.79,2443.51,14963.071,29.452,0.0,469.882,0.0,6941.23,353.654,1212.72,0.0,604.686,91.125,22428.374,96.661,95.658,122.849,163.74,4420.48,0.92,0.52,0.0,5673.28,0.0,0.0,3224.12,707.86,0.0,8923.83,271.62,1702.1,813.43,0.2034,18.34,8879920,0.0,0.0
20,Austria,2020,181.115,2932.0,0.0,22316.4,0.0,2142.14,4954.63,2668.92,14622.071,52.502,0.0,514.546,0.0,6340.99,391.197,1184.16,0.0,582.603,90.785,25028.774,97.807,97.49,73.38,164.58,4479.87,0.92,0.46,0.0,5731.3,0.0,0.0,3225.98,706.26,0.0,8903.21,270.02,2042.94,816.2,0.2111,17.9895,8916864,0.0,194.63
21,Austria,2021,149.12,1262.98,0.0,25342.1,0.0,2296.29,5355.91,3079.8,15406.771,50.476,0.0,551.946,0.0,7434.5,983.18,1203.39,0.0,581.627,97.262,27660.574,99.412,90.37,51.016,166.21,4650.16,0.92,0.07,0.0,5761.28,0.0,0.0,3407.81,621.86,0.0,8986.65,240.12,2782.61,764.7,0.2216,17.6667,8955797,0.0,0.0
34,Belgium,2011,201.6,0.0,64.8,29717.0,0.0,694.0,8004.9,640.9,295.0,0.0,0.0,38.3,0.0,754.2,0.0,1.9,0.0,1.7,0.0,0.0,100.837,100.535,100.501,129.0,9023.0,0.0,81.0,0.0,0.0,5927.0,196.5,872.5,234.0,1307.0,119.0,120.0,1978.6,701.0,0.2136,17.6,11038264,0.0,0.0
35,Belgium,2012,265.4,0.0,158.9,29116.7,0.0,459.0,10037.4,647.0,316.4,0.0,0.0,41.3,0.0,102.3,0.0,1.9,0.0,1.7,0.0,0.0,94.278,99.213,98.614,141.0,8241.0,0.0,55.0,0.0,0.0,5927.0,381.0,985.9,244.5,1307.0,120.0,111.5,2646.6,678.0,0.2327,19.13,11106932,0.0,0.0
36,Belgium,2013,217.6,0.0,142.1,24779.3,0.0,473.5,11304.0,1015.0,304.0,0.0,0.0,47.3,0.0,47.8,0.0,1.9,0.0,1.7,0.0,0.0,93.942,101.92,100.516,151.0,7746.0,0.0,50.0,0.0,0.0,5927.0,707.7,1061.3,202.5,1307.0,119.0,123.5,2901.6,640.0,0.2173,18.32,11159407,0.0,0.0
37,Belgium,2014,316.5,0.0,124.9,22253.9,0.0,229.7,11444.4,1227.4,310.9,0.0,0.0,46.9,0.0,141.3,3.0,1.9,0.0,1.7,0.0,0.0,99.292,100.992,101.176,181.0,7504.2,0.0,51.0,0.0,0.0,5927.0,707.7,1225.0,186.55,1307.0,121.0,123.65,3015.0,557.6,0.2097,18.27,11209057,0.0,0.0
38,Belgium,2015,526.1,0.0,117.6,22186.1,0.0,395.8,10745.2,1218.6,246.0,0.0,0.0,50.2,0.0,48.9,0.0,1.9,0.0,1.7,0.0,0.0,95.73,103.78,99.324,178.9,7395.2,0.0,48.8,0.0,0.0,5913.0,712.0,1469.3,184.6,1307.0,112.0,124.2,3131.6,591.3,0.2126,16.23,11274196,0.0,0.0
39,Belgium,2016,496.3,0.0,14.0,21350.9,0.0,375.5,12900.3,1123.4,266.5,0.0,0.0,52.4,0.0,91.8,0.0,1.0,0.0,0.9,0.0,0.0,93.824,98.694,100.559,187.5,7288.7,0.0,44.9,0.0,0.0,5913.0,712.2,1621.6,186.95,1307.0,109.1,124.65,3328.8,566.3,0.2544,15.19,11331422,6.35,0.0
40,Belgium,2017,385.0,0.0,17.1,18137.7,0.0,395.1,12882.9,1089.5,282.0,0.0,0.0,50.7,0.0,91.0,0.0,3.5,0.0,4.2,0.0,0.0,94.644,97.055,98.41,182.5,7265.3,0.0,45.3,0.0,0.0,5918.0,877.2,1902.2,189.7,1307.0,107.0,125.3,3620.6,559.2,0.2857,14.5114,11375158,0.0,0.0
41,Belgium,2018,471.0,0.0,63.2,20058.5,0.0,306.9,11942.8,1161.5,256.5,0.0,0.0,52.5,0.0,112.5,0.0,3.5,0.0,4.4,0.0,0.0,103.763,100.677,100.551,190.2,7013.3,0.0,45.2,0.0,0.0,5918.0,1185.9,2119.0,188.4,1307.0,107.8,125.2,4000.0,526.3,0.2824,14.8847,11427054,0.0,0.0
42,Belgium,2019,539.6,0.0,74.7,16420.1,0.0,8.4,11752.0,1290.3,335.3,0.0,0.0,56.2,0.0,63.5,0.0,3.0,0.0,3.8,0.0,0.0,101.77,101.483,101.798,196.6,6983.2,0.0,44.9,0.0,0.0,5930.0,1555.5,2308.0,191.75,1307.0,104.1,125.75,4636.6,539.2,0.2839,15.3755,11488980,0.0,0.0
43,Belgium,2020,800.9,0.0,31.5,15724.8,0.0,9.9,11617.4,1334.8,443.7,0.0,0.0,58.6,0.0,63.9,0.0,2.9,0.0,3.2,0.0,0.0,102.12,102.725,99.132,199.0,6974.4,0.0,23.1,0.0,0.0,5942.0,2261.8,2410.9,191.65,1307.0,105.8,136.15,5572.8,563.5,0.2792,13.7697,11538604,0.0,0.0
44,Belgium,2021,897.5,0.0,2.3,14959.8,0.0,26.1,11743.6,1709.3,883.9,0.0,0.0,66.6,0.0,74.3,0.0,14.0,0.0,15.4,0.0,0.0,92.6,95.826,99.894,203.5,6969.6,0.0,19.2,0.0,0.0,5851.0,2261.8,2686.6,202.1,1307.0,110.7,146.2,6012.4,448.0,0.2702,13.0023,11586195,0.0,0.0
